age,region,day,lmean,lsd,sample_date
1-4,London,370,0,0,2021-02-20
1-4,London,371,0,0,2021-02-21
1-4,London,372,0,0,2021-02-22
1-4,London,373,0,0,2021-02-23
1-4,London,374,0,0,2021-02-24
1-4,London,375,0,0,2021-02-25
1-4,London,376,0,0,2021-02-26
1-4,London,377,0,0,2021-02-27
1-4,London,378,0,0,2021-02-28
1-4,London,379,0,0,2021-03-01
1-4,London,380,0,0,2021-03-02
1-4,London,381,0,0,2021-03-03
1-4,London,382,0,0,2021-03-04
1-4,London,383,0,0,2021-03-05
1-4,London,384,0,0,2021-03-06
1-4,London,385,0,0,2021-03-07
1-4,London,386,0,0,2021-03-08
1-4,London,387,0,0,2021-03-09
1-4,London,388,0,0,2021-03-10
1-4,London,389,0,0,2021-03-11
1-4,London,390,0,0,2021-03-12
1-4,North_East,337,0,0,2021-01-18
1-4,North_East,338,0,0,2021-01-19
1-4,North_East,339,0,0,2021-01-20
1-4,North_East,340,0,0,2021-01-21
1-4,North_East,341,0,0,2021-01-22
1-4,North_East,342,0,0,2021-01-23
1-4,North_East,343,0,0,2021-01-24
1-4,North_East,344,0,0,2021-01-25
1-4,North_East,345,0,0,2021-01-26
1-4,North_East,346,0,0,2021-01-27
1-4,North_East,347,0,0,2021-01-28
1-4,North_East,348,0,0,2021-01-29
1-4,North_East,349,0,0,2021-01-30
1-4,North_East,350,0,0,2021-01-31
1-4,North_East,351,0,0,2021-02-01
1-4,North_East,352,0,0,2021-02-02
1-4,North_East,353,0,0,2021-02-03
1-4,North_East,354,0,0,2021-02-04
1-4,North_East,355,0,0,2021-02-05
1-4,North_East,356,0,0,2021-02-06
1-4,North_East,357,0,0,2021-02-07
1-4,North_East,358,0,0,2021-02-08
1-4,North_East,359,0,0,2021-02-09
1-4,North_East,360,0,0,2021-02-10
1-4,North_East,361,0,0,2021-02-11
1-4,North_East,362,0,0,2021-02-12
1-4,North_East,363,0,0,2021-02-13
1-4,North_East,364,0,0,2021-02-14
1-4,North_East,365,0,0,2021-02-15
1-4,North_East,366,0,0,2021-02-16
1-4,North_East,367,0,0,2021-02-17
1-4,North_East,368,0,0,2021-02-18
1-4,North_East,369,0,0,2021-02-19
1-4,North_East,370,0,0,2021-02-20
1-4,North_East,371,0,0,2021-02-21
1-4,North_East,372,0,0,2021-02-22
1-4,North_East,373,0,0,2021-02-23
1-4,North_East,374,0,0,2021-02-24
1-4,North_East,375,0,0,2021-02-25
1-4,North_East,376,0,0,2021-02-26
1-4,North_East,377,0,0,2021-02-27
1-4,North_East,378,0,0,2021-02-28
1-4,North_East,379,0,0,2021-03-01
1-4,North_East,380,0,0,2021-03-02
1-4,North_East,381,0,0,2021-03-03
1-4,North_East,382,0,0,2021-03-04
1-4,North_East,383,0,0,2021-03-05
1-4,North_East,384,0,0,2021-03-06
1-4,North_East,385,0,0,2021-03-07
1-4,North_East,386,0,0,2021-03-08
1-4,North_East,387,0,0,2021-03-09
1-4,North_East,388,0,0,2021-03-10
1-4,North_East,389,0,0,2021-03-11
1-4,North_East,390,0,0,2021-03-12
1-4,North_West,337,0,0,2021-01-18
1-4,North_West,338,0,0,2021-01-19
1-4,North_West,339,0,0,2021-01-20
1-4,North_West,340,0,0,2021-01-21
1-4,North_West,341,0,0,2021-01-22
1-4,North_West,342,0,0,2021-01-23
1-4,North_West,343,0,0,2021-01-24
1-4,North_West,344,0,0,2021-01-25
1-4,North_West,345,0,0,2021-01-26
1-4,North_West,346,0,0,2021-01-27
1-4,North_West,347,0,0,2021-01-28
1-4,North_West,348,0,0,2021-01-29
1-4,North_West,349,0,0,2021-01-30
1-4,North_West,350,0,0,2021-01-31
1-4,North_West,351,0,0,2021-02-01
1-4,North_West,352,0,0,2021-02-02
1-4,North_West,353,0,0,2021-02-03
1-4,North_West,354,0,0,2021-02-04
1-4,North_West,355,0,0,2021-02-05
1-4,North_West,356,0,0,2021-02-06
1-4,North_West,357,0,0,2021-02-07
1-4,North_West,358,0,0,2021-02-08
1-4,North_West,359,0,0,2021-02-09
1-4,North_West,360,0,0,2021-02-10
1-4,North_West,361,0,0,2021-02-11
1-4,North_West,362,0,0,2021-02-12
1-4,North_West,363,0,0,2021-02-13
1-4,North_West,364,0,0,2021-02-14
1-4,North_West,365,0,0,2021-02-15
1-4,North_West,366,0,0,2021-02-16
1-4,North_West,367,0,0,2021-02-17
1-4,North_West,368,0,0,2021-02-18
1-4,North_West,369,0,0,2021-02-19
1-4,North_West,370,0,0,2021-02-20
1-4,North_West,371,0,0,2021-02-21
1-4,North_West,372,0,0,2021-02-22
1-4,North_West,373,0,0,2021-02-23
1-4,North_West,374,0,0,2021-02-24
1-4,North_West,375,0,0,2021-02-25
1-4,North_West,376,0,0,2021-02-26
1-4,North_West,377,0,0,2021-02-27
1-4,North_West,378,0,0,2021-02-28
1-4,North_West,379,0,0,2021-03-01
1-4,North_West,380,0,0,2021-03-02
1-4,North_West,381,0,0,2021-03-03
1-4,North_West,382,0,0,2021-03-04
1-4,North_West,383,0,0,2021-03-05
1-4,North_West,384,0,0,2021-03-06
1-4,North_West,385,0,0,2021-03-07
1-4,North_West,386,0,0,2021-03-08
1-4,North_West,387,0,0,2021-03-09
1-4,North_West,388,0,0,2021-03-10
1-4,North_West,389,0,0,2021-03-11
1-4,North_West,390,0,0,2021-03-12
1-4,South_East,337,0,0,2021-01-18
1-4,South_East,338,0,0,2021-01-19
1-4,South_East,339,0,0,2021-01-20
1-4,South_East,340,0,0,2021-01-21
1-4,South_East,341,0,0,2021-01-22
1-4,South_East,342,0,0,2021-01-23
1-4,South_East,343,0,0,2021-01-24
1-4,South_East,344,0,0,2021-01-25
1-4,South_East,345,0,0,2021-01-26
1-4,South_East,346,0,0,2021-01-27
1-4,South_East,347,0,0,2021-01-28
1-4,South_East,348,0,0,2021-01-29
1-4,South_East,349,0,0,2021-01-30
1-4,South_East,350,0,0,2021-01-31
1-4,South_East,351,0,0,2021-02-01
1-4,South_East,352,0,0,2021-02-02
1-4,South_East,353,0,0,2021-02-03
1-4,South_East,354,0,0,2021-02-04
1-4,South_East,355,0,0,2021-02-05
1-4,South_East,356,0,0,2021-02-06
1-4,South_East,357,0,0,2021-02-07
1-4,South_East,358,0,0,2021-02-08
1-4,South_East,359,0,0,2021-02-09
1-4,South_East,360,0,0,2021-02-10
1-4,South_East,361,0,0,2021-02-11
1-4,South_East,362,0,0,2021-02-12
1-4,South_East,363,0,0,2021-02-13
1-4,South_East,364,0,0,2021-02-14
1-4,South_East,365,0,0,2021-02-15
1-4,South_East,366,0,0,2021-02-16
1-4,South_East,367,0,0,2021-02-17
1-4,South_East,368,0,0,2021-02-18
1-4,South_East,369,0,0,2021-02-19
1-4,South_East,370,0,0,2021-02-20
1-4,South_East,371,0,0,2021-02-21
1-4,South_East,372,0,0,2021-02-22
1-4,South_East,373,0,0,2021-02-23
1-4,South_East,374,0,0,2021-02-24
1-4,South_East,375,0,0,2021-02-25
1-4,South_East,376,0,0,2021-02-26
1-4,South_East,377,0,0,2021-02-27
1-4,South_East,378,0,0,2021-02-28
1-4,South_East,379,0,0,2021-03-01
1-4,South_East,380,0,0,2021-03-02
1-4,South_East,381,0,0,2021-03-03
1-4,South_East,382,0,0,2021-03-04
1-4,South_East,383,0,0,2021-03-05
1-4,South_East,384,0,0,2021-03-06
1-4,South_East,385,0,0,2021-03-07
1-4,South_East,386,0,0,2021-03-08
1-4,South_East,387,0,0,2021-03-09
1-4,South_East,388,0,0,2021-03-10
1-4,South_East,389,0,0,2021-03-11
1-4,South_East,390,0,0,2021-03-12
1-4,South_West,337,0,0,2021-01-18
1-4,South_West,338,0,0,2021-01-19
1-4,South_West,339,0,0,2021-01-20
1-4,South_West,340,0,0,2021-01-21
1-4,South_West,341,0,0,2021-01-22
1-4,South_West,342,0,0,2021-01-23
1-4,South_West,343,0,0,2021-01-24
1-4,South_West,344,0,0,2021-01-25
1-4,South_West,345,0,0,2021-01-26
