age,region,day,lmean,lsd,sample_date
1-4,East_Midlands,307,0,0,2020-12-19
1-4,East_Midlands,308,0,0,2020-12-20
1-4,East_Midlands,309,0,0,2020-12-21
1-4,East_Midlands,310,0,0,2020-12-22
1-4,East_Midlands,311,0,0,2020-12-23
1-4,East_Midlands,312,0,0,2020-12-24
1-4,East_Midlands,313,0,0,2020-12-25
1-4,East_Midlands,314,0,0,2020-12-26
1-4,East_Midlands,315,0,0,2020-12-27
1-4,East_Midlands,316,0,0,2020-12-28
1-4,East_Midlands,317,0,0,2020-12-29
1-4,East_Midlands,318,0,0,2020-12-30
1-4,East_Midlands,319,0,0,2020-12-31
1-4,London,246,0,0,2020-10-19
1-4,London,247,0,0,2020-10-20
1-4,London,248,0,0,2020-10-21
1-4,London,249,0,0,2020-10-22
1-4,London,250,0,0,2020-10-23
1-4,London,251,0,0,2020-10-24
1-4,London,252,0,0,2020-10-25
1-4,London,253,0,0,2020-10-26
1-4,London,254,0,0,2020-10-27
1-4,London,255,0,0,2020-10-28
1-4,London,256,0,0,2020-10-29
1-4,London,257,0,0,2020-10-30
1-4,London,258,0,0,2020-10-31
1-4,London,259,0,0,2020-11-01
1-4,London,260,0,0,2020-11-02
1-4,London,261,0,0,2020-11-03
1-4,London,262,0,0,2020-11-04
1-4,London,263,0,0,2020-11-05
1-4,London,264,0,0,2020-11-06
1-4,London,265,0,0,2020-11-07
1-4,London,266,0,0,2020-11-08
1-4,London,267,0,0,2020-11-09
1-4,London,268,0,0,2020-11-10
1-4,London,269,0,0,2020-11-11
1-4,London,270,0,0,2020-11-12
1-4,London,271,0,0,2020-11-13
1-4,London,272,0,0,2020-11-14
1-4,London,273,0,0,2020-11-15
1-4,London,274,0,0,2020-11-16
1-4,London,275,0,0,2020-11-17
1-4,London,276,0,0,2020-11-18
1-4,London,277,0,0,2020-11-19
1-4,London,278,0,0,2020-11-20
1-4,London,279,0,0,2020-11-21
1-4,London,280,0,0,2020-11-22
1-4,London,281,0,0,2020-11-23
1-4,London,282,0,0,2020-11-24
1-4,London,283,0,0,2020-11-25
1-4,London,284,0,0,2020-11-26
1-4,London,285,0,0,2020-11-27
1-4,London,286,0,0,2020-11-28
