age,region,day,lmean,lsd,sample_date
1-4,London,219,0,0,2020-09-22
1-4,London,220,0,0,2020-09-23
1-4,London,221,0,0,2020-09-24
1-4,London,222,0,0,2020-09-25
1-4,London,223,0,0,2020-09-26
1-4,London,224,0,0,2020-09-27
1-4,London,225,0,0,2020-09-28
1-4,London,226,0,0,2020-09-29
1-4,London,227,0,0,2020-09-30
1-4,London,228,0,0,2020-10-01
1-4,London,229,0,0,2020-10-02
1-4,London,230,0,0,2020-10-03
1-4,London,231,0,0,2020-10-04
1-4,London,232,0,0,2020-10-05
1-4,London,233,0,0,2020-10-06
1-4,London,234,0,0,2020-10-07
1-4,London,235,0,0,2020-10-08
1-4,London,236,0,0,2020-10-09
1-4,London,237,0,0,2020-10-10
1-4,London,238,0,0,2020-10-11
1-4,London,239,0,0,2020-10-12
1-4,London,240,0,0,2020-10-13
1-4,London,241,0,0,2020-10-14
1-4,London,242,0,0,2020-10-15
1-4,London,243,0,0,2020-10-16
1-4,London,244,0,0,2020-10-17
1-4,London,245,0,0,2020-10-18
1-4,London,246,0,0,2020-10-19
1-4,London,247,0,0,2020-10-20
1-4,London,248,0,0,2020-10-21
1-4,London,249,0,0,2020-10-22
1-4,London,250,0,0,2020-10-23
1-4,London,251,0,0,2020-10-24
1-4,London,252,0,0,2020-10-25
1-4,London,253,0,0,2020-10-26
1-4,London,254,0,0,2020-10-27
1-4,London,255,0,0,2020-10-28
1-4,London,256,0,0,2020-10-29
1-4,London,257,0,0,2020-10-30
1-4,London,258,0,0,2020-10-31
1-4,London,259,0,0,2020-11-01
1-4,London,260,0,0,2020-11-02
1-4,London,261,0,0,2020-11-03
1-4,London,262,0,0,2020-11-04
1-4,London,263,0,0,2020-11-05
1-4,London,264,0,0,2020-11-06
1-4,London,265,0,0,2020-11-07
1-4,London,266,0,0,2020-11-08
1-4,London,267,0,0,2020-11-09
1-4,London,268,0,0,2020-11-10
1-4,London,269,0,0,2020-11-11
1-4,London,270,0,0,2020-11-12
1-4,London,271,0,0,2020-11-13
1-4,London,272,0,0,2020-11-14
1-4,London,273,0,0,2020-11-15
1-4,London,274,0,0,2020-11-16
1-4,London,275,0,0,2020-11-17
1-4,London,276,0,0,2020-11-18
1-4,London,277,0,0,2020-11-19
1-4,London,278,0,0,2020-11-20
1-4,London,279,0,0,2020-11-21
1-4,London,280,0,0,2020-11-22
1-4,London,281,0,0,2020-11-23
1-4,London,282,0,0,2020-11-24
1-4,London,283,0,0,2020-11-25
1-4,London,284,0,0,2020-11-26
1-4,North_East,218,0,0,2020-09-21
1-4,North_East,219,0,0,2020-09-22
1-4,North_East,220,0,0,2020-09-23
1-4,North_East,221,0,0,2020-09-24
1-4,North_East,222,0,0,2020-09-25
1-4,North_East,223,0,0,2020-09-26
1-4,North_East,224,0,0,2020-09-27
1-4,North_East,225,0,0,2020-09-28
1-4,North_East,226,0,0,2020-09-29
1-4,North_East,227,0,0,2020-09-30
1-4,North_East,228,0,0,2020-10-01
1-4,North_East,229,0,0,2020-10-02
1-4,North_East,230,0,0,2020-10-03
1-4,North_East,231,0,0,2020-10-04
1-4,North_East,232,0,0,2020-10-05
1-4,North_East,233,0,0,2020-10-06
1-4,North_East,234,0,0,2020-10-07
1-4,North_East,235,0,0,2020-10-08
1-4,North_East,236,0,0,2020-10-09
1-4,North_East,237,0,0,2020-10-10
1-4,North_East,238,0,0,2020-10-11
1-4,North_East,239,0,0,2020-10-12
1-4,North_East,240,0,0,2020-10-13
1-4,North_East,241,0,0,2020-10-14
1-4,North_East,242,0,0,2020-10-15
1-4,North_East,243,0,0,2020-10-16
1-4,North_East,244,0,0,2020-10-17
1-4,North_East,245,0,0,2020-10-18
1-4,North_East,246,0,0,2020-10-19
1-4,North_East,247,0,0,2020-10-20
1-4,North_East,248,0,0,2020-10-21
1-4,North_East,249,0,0,2020-10-22
1-4,North_East,250,0,0,2020-10-23
1-4,North_East,251,0,0,2020-10-24
1-4,North_East,252,0,0,2020-10-25
1-4,North_East,253,0,0,2020-10-26
1-4,North_East,254,0,0,2020-10-27
1-4,North_East,255,0,0,2020-10-28
1-4,North_East,256,0,0,2020-10-29
1-4,North_East,257,0,0,2020-10-30
1-4,North_East,258,0,0,2020-10-31
1-4,North_East,259,0,0,2020-11-01
1-4,North_East,260,0,0,2020-11-02
1-4,North_East,261,0,0,2020-11-03
1-4,North_East,262,0,0,2020-11-04
1-4,North_East,263,0,0,2020-11-05
1-4,North_East,264,0,0,2020-11-06
1-4,North_East,265,0,0,2020-11-07
1-4,North_East,266,0,0,2020-11-08
1-4,North_East,267,0,0,2020-11-09
1-4,North_East,268,0,0,2020-11-10
1-4,North_East,269,0,0,2020-11-11
1-4,North_East,270,0,0,2020-11-12
1-4,North_East,271,0,0,2020-11-13
1-4,North_East,272,0,0,2020-11-14
1-4,North_East,273,0,0,2020-11-15
1-4,North_East,274,0,0,2020-11-16
1-4,North_East,275,0,0,2020-11-17
1-4,North_East,276,0,0,2020-11-18
1-4,North_East,277,0,0,2020-11-19
1-4,North_East,278,0,0,2020-11-20
1-4,North_East,279,0,0,2020-11-21
1-4,North_East,280,0,0,2020-11-22
1-4,North_East,281,0,0,2020-11-23
1-4,North_East,282,0,0,2020-11-24
1-4,North_East,283,0,0,2020-11-25
1-4,North_East,284,0,0,2020-11-26
1-4,North_West,218,0,0,2020-09-21
1-4,North_West,219,0,0,2020-09-22
1-4,North_West,220,0,0,2020-09-23
1-4,North_West,221,0,0,2020-09-24
1-4,North_West,222,0,0,2020-09-25
1-4,North_West,223,0,0,2020-09-26
1-4,North_West,224,0,0,2020-09-27
1-4,North_West,225,0,0,2020-09-28
1-4,North_West,226,0,0,2020-09-29
1-4,North_West,227,0,0,2020-09-30
1-4,North_West,228,0,0,2020-10-01
1-4,North_West,229,0,0,2020-10-02
1-4,North_West,230,0,0,2020-10-03
1-4,North_West,231,0,0,2020-10-04
1-4,North_West,232,0,0,2020-10-05
1-4,North_West,233,0,0,2020-10-06
1-4,North_West,234,0,0,2020-10-07
1-4,North_West,235,0,0,2020-10-08
1-4,North_West,236,0,0,2020-10-09
1-4,North_West,237,0,0,2020-10-10
1-4,North_West,238,0,0,2020-10-11
1-4,North_West,239,0,0,2020-10-12
1-4,North_West,240,0,0,2020-10-13
1-4,North_West,241,0,0,2020-10-14
1-4,North_West,242,0,0,2020-10-15
1-4,North_West,243,0,0,2020-10-16
1-4,North_West,244,0,0,2020-10-17
1-4,North_West,245,0,0,2020-10-18
1-4,North_West,246,0,0,2020-10-19
1-4,North_West,247,0,0,2020-10-20
1-4,North_West,248,0,0,2020-10-21
1-4,North_West,249,0,0,2020-10-22
1-4,North_West,250,0,0,2020-10-23
1-4,North_West,251,0,0,2020-10-24
1-4,North_West,252,0,0,2020-10-25
1-4,North_West,253,0,0,2020-10-26
1-4,North_West,254,0,0,2020-10-27
1-4,North_West,255,0,0,2020-10-28
1-4,North_West,256,0,0,2020-10-29
1-4,North_West,257,0,0,2020-10-30
1-4,North_West,258,0,0,2020-10-31
1-4,North_West,259,0,0,2020-11-01
1-4,North_West,260,0,0,2020-11-02
1-4,North_West,261,0,0,2020-11-03
1-4,North_West,262,0,0,2020-11-04
1-4,North_West,263,0,0,2020-11-05
1-4,North_West,264,0,0,2020-11-06
1-4,North_West,265,0,0,2020-11-07
1-4,North_West,266,0,0,2020-11-08
1-4,North_West,267,0,0,2020-11-09
1-4,North_West,268,0,0,2020-11-10
1-4,North_West,269,0,0,2020-11-11
1-4,North_West,270,0,0,2020-11-12
1-4,North_West,271,0,0,2020-11-13
1-4,North_West,272,0,0,2020-11-14
1-4,North_West,273,0,0,2020-11-15
1-4,North_West,274,0,0,2020-11-16
1-4,North_West,275,0,0,2020-11-17
1-4,North_West,276,0,0,2020-11-18
1-4,North_West,277,0,0,2020-11-19
1-4,North_West,278,0,0,2020-11-20
1-4,North_West,279,0,0,2020-11-21
1-4,North_West,280,0,0,2020-11-22
1-4,North_West,281,0,0,2020-11-23
1-4,North_West,282,0,0,2020-11-24
1-4,North_West,283,0,0,2020-11-25
1-4,North_West,284,0,0,2020-11-26
1-4,South_East,218,0,0,2020-09-21
1-4,South_East,219,0,0,2020-09-22
1-4,South_East,220,0,0,2020-09-23
1-4,South_East,221,0,0,2020-09-24
1-4,South_East,222,0,0,2020-09-25
1-4,South_East,223,0,0,2020-09-26
1-4,South_East,224,0,0,2020-09-27
1-4,South_East,225,0,0,2020-09-28
1-4,South_East,226,0,0,2020-09-29
1-4,South_East,227,0,0,2020-09-30
1-4,South_East,228,0,0,2020-10-01
1-4,South_East,229,0,0,2020-10-02
1-4,South_East,230,0,0,2020-10-03
1-4,South_East,231,0,0,2020-10-04
1-4,South_East,232,0,0,2020-10-05
1-4,South_East,233,0,0,2020-10-06
