"Group","Scenario","Geography","ValueType","Value","1st centile","5th centile","25th centile","75th centile","95th centile","99th centile","50th centile","Creation Day","Creation Month","Creation Year","Day of Value","Month of Value","Year of Value"
"PHE","Forecast","Midlands","infections_cum",512825.40491007,223310.401189485,273822.374158879,386989.729243405,677187.566587759,1037820.35495256,1556676.43736485,1556676.43736485,12,4,2020,22,4,2020
"PHE","Forecast","Midlands","infections_cum",514010.281382664,223323.000688188,273826.042169008,387780.757525792,678340.642534918,1043396.1183557,1562854.90139667,1562854.90139667,12,4,2020,23,4,2020
"PHE","Forecast","Midlands","infections_cum",515020.029888902,223333.133739955,273829.123885085,388255.992969756,680282.672290017,1051966.08787353,1577637.34058274,1577637.34058274,12,4,2020,24,4,2020
"PHE","Forecast","Midlands","infections_cum",515257.290503678,223341.283178341,273831.718718911,388266.969342482,685645.389533619,1057573.85595319,1590467.66840916,1590467.66840916,12,4,2020,25,4,2020
"PHE","Forecast","Midlands","infections_cum",516366.282866764,223347.837315437,273833.907775129,388458.198597,686438.315571953,1077734.83227676,1593599.41836571,1593599.41836571,12,4,2020,26,4,2020
"PHE","Forecast","Midlands","infections_cum",517878.503605339,223353.108446295,273835.75757095,389797.720073097,687165.662374803,1081620.28443229,1610023.43077091,1610023.43077091,12,4,2020,27,4,2020
"PHE","Forecast","Midlands","infections_cum",518582.464631439,223357.347730451,273837.322923033,390281.437523698,689369.470535138,1092382.56251931,1638929.48036284,1638929.48036284,12,4,2020,28,4,2020
"PHE","Forecast","Midlands","infections_cum",518793.966108048,223360.757160053,273838.649203444,390428.303454687,689908.209774355,1103420.9836423,1653093.96507109,1653093.96507109,12,4,2020,29,4,2020
"PHE","Forecast","Midlands","infections_cum",518798.950147721,223363.499185047,273839.774114868,390499.931633978,690075.775755756,1103841.93235136,1666744.16236974,1666744.16236974,12,4,2020,30,4,2020
"PHE","Forecast","Midlands","infections_cum",518808.029743443,223365.704454092,273840.729097179,390562.008447031,690132.716421482,1112808.35977612,1692648.11881445,1692648.11881445,12,4,2020,1,5,2020
