"Group","Scenario","Geography","ValueType","Value","1st centile","5th centile","25th centile","50th centile","75th centile","95th centile","99th centile","Creation Day","Creation Month","Creation Year","Day of Value","Month of Value","Year of Value","Model"
"PHE","forecast - relaxed prior","England","infections",240743.054557739,117441.096107428,143218.438316389,192763.84610184,240743.054557739,306682.087077841,452951.165617868,647083.285332329,12,4,2020,23,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",148397.82644511,75077.519544279,89834.0783558486,119195.352695443,148397.82644511,187010.916794617,271781.159617479,401727.069895268,12,4,2020,24,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",25148.6469220142,2361.3205800145,5627.80770239739,14954.4503283792,25148.6469220142,37367.3317733439,67533.7825616485,93604.5884631433,12,4,2020,25,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",28779.8335817566,2720.27925320284,6578.42048086222,17159.9545499538,28779.8335817566,42982.1588835754,76419.0069048357,105358.099486568,12,4,2020,26,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",30197.8783312051,2890.59244135448,6979.3255983376,17848.466081968,30197.8783312051,45139.1055422836,79380.37099768,112824.736215962,12,4,2020,27,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",28991.4749834993,2827.42365250433,6713.94636040021,17080.6256619418,28991.4749834993,43538.3456590061,76947.9769628606,113408.672802144,12,4,2020,28,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",26263.2041752681,2367.32265109573,5805.35034373816,15107.5149038403,26263.2041752681,40329.9040852034,72424.2263260239,105768.140338164,12,4,2020,29,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",22982.7832495803,1866.78827762059,4932.3630982412,12931.4954858406,22982.7832495803,36806.1821710823,65788.6703932854,100487.679628863,12,4,2020,30,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",19627.5950217385,1545.71219131121,3904.92552691823,10715.9766542421,19627.5950217385,32494.630921306,59890.8766845415,92807.9881556177,12,4,2020,31,3,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",16550.9442950582,1138.59621122879,2973.70819765516,8783.19135448746,16550.9442950582,28767.4207000725,55025.253307469,88905.388385136,12,4,2020,1,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",13800.9254928555,832.377042752583,2158.76395851114,7062.50374050467,13800.9254928555,25069.735371028,48849.3036217332,79054.4911637938,12,4,2020,2,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",11452.1008341914,597.176931027218,1573.81965808958,5548.2129401505,11452.1008341914,21601.8014754092,43934.6603552398,75505.1657325267,12,4,2020,3,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",9483.74516405532,408.163927689502,1152.84363751202,4325.78557408997,9483.74516405532,18915.0103770891,39938.8691291819,72458.4497225976,12,4,2020,4,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",7917.91703554303,288.756397162133,821.624548384719,3365.05855399969,7917.91703554303,16393.0735267597,36420.4819418792,69057.8887803111,12,4,2020,5,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",6571.02889621672,200.595389902928,587.569691721188,2690.7733256576,6571.02889621672,14390.7297623813,33511.5584957328,66983.1682599819,12,4,2020,6,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",5571.07705026363,137.564574353516,441.523362630554,2115.01670281617,5571.07705026363,12524.7828334512,30763.4299153233,66057.5755552691,12,4,2020,7,4,2020,"forecast - relaxed prior"
"PHE","forecast - relaxed prior","England","infections",4621.42955483324,92.5038534856935,318.385521606452,1679.89351328189,4621.42955483324,10957.3095990971,28414.6870387534,63915.3592983373,12,4,2020,8,4,2020,"forecast - relaxed prior"
