"[0,1)","[1,5)","[5,15)","[15,25)","[25,45)","[45,65)","[65,75)","[75,+)"
<<<<<<< HEAD
1.11282427428404,0.83585627414113,0.816109308031665,0.798545289232032,0.844040282968744,0.790656405197283,0.605011026694607,0.851359339876392
0.83585627414113,1.00894978913433,0.88565519958273,0.836082929480259,0.850280435574245,0.844786670963968,0.790480750311827,0.862039780107792
0.816109308031665,0.88565519958273,1.01600598128993,0.863550489034521,0.867541135047951,0.891654428957293,0.815511021966481,0.839933822951851
0.798545289232032,0.836082929480259,0.863550489034521,0.828625489916518,0.808409361891061,0.837803307892032,0.765072138394337,0.846758961153851
0.844040282968743,0.850280435574245,0.867541135047952,0.808409361891062,0.800359041197795,0.823973435825283,0.739627930932958,0.706420687176386
0.790656405197283,0.844786670963968,0.891654428957293,0.837803307892032,0.823973435825282,0.850629234720423,0.768686453450838,0.787255135832898
0.605011026694607,0.790480750311827,0.815511021966481,0.765072138394336,0.739627930932958,0.768686453450838,0.789500387208598,0.745186754053046
0.851359339876392,0.862039780107792,0.839933822951851,0.846758961153851,0.706420687176386,0.787255135832898,0.745186754053046,0.822294707320496
=======
1.26131174972881,0.873064728722919,0.833944246594912,0.797587571211052,0.869142806238303,0.812824845891297,0.666240120824642,0.851359339876392
0.873064728722919,1.1094826196321,0.909084555367846,0.865772466161316,0.877850849815484,0.859895944436488,0.814601118263734,0.863494628044877
0.833944246594912,0.909084555367846,1.11985018511523,0.905972903683776,0.898602930803596,0.918878118850167,0.835691152607612,0.843833831432154
0.797587571211052,0.865772466161316,0.905972903683776,0.883268067916602,0.840838059055873,0.855224133080394,0.780702031170579,0.852570429034885
0.869142806238302,0.877850849815484,0.898602930803597,0.840838059055873,0.84004138314678,0.847911316522517,0.760865019204637,0.725487890540126
0.812824845891297,0.859895944436488,0.918878118850167,0.855224133080394,0.847911316522517,0.860492896903709,0.799149218759831,0.819441272081675
0.666240120824642,0.814601118263734,0.835691152607612,0.780702031170579,0.760865019204637,0.799149218759831,0.842998479206858,0.79076506941161
0.851359339876392,0.863494628044877,0.843833831432154,0.852570429034885,0.725487890540126,0.819441272081675,0.79076506941161,0.84789595979592
>>>>>>> origin/simulation_fixes
