2020-12-21	0	0	0	0	0	0	0	0
2020-12-22	0	0	0	0	0	0	0	0
2020-12-23	0	0	0	0	0	0	0	0
2020-12-24	0	0	0	0	0	0	0	0
2020-12-25	0	0	0	0	0	0	0	0
2020-12-26	0	0	0	0	0	0	0	0
2020-12-27	0	0	0	0	0	0	0	0
2020-12-28	0	0	0	0	0	0	0	0
2020-12-29	0	0	0	9.31502723489075e-6	4.446565507865152e-5	8.955983018865687e-5	1.0506420736522415e-5	1.0186262495737175e-4
2020-12-30	0	0	0	3.726071634058137e-5	1.4644024672949563e-4	2.372967298669426e-4	7.054491067570723e-5	1.4863611769633245e-4
2020-12-31	0	0	0	7.452490376458343e-5	1.9707398853308078e-4	2.7747184504711697e-4	6.154338040476048e-5	1.6202129103271012e-4
2021-01-01	0	0	1.5793577936573655e-6	9.626903162818223e-5	3.3824835532780817e-4	4.053011559592701e-4	8.706728128271557e-5	2.221922445893032e-4
2021-01-02	0	0	0	1.8013737063915514e-4	7.696473776956925e-4	8.612104889491601e-4	1.45627333092202e-4	1.437022891457307e-4
2021-01-03	0	0	0	6.367885976077403e-5	1.5279574973692256e-4	1.8682536372516267e-4	3.303276024224644e-5	6.0161835350625026e-5
2021-01-04	0	0	0	8.23222005850166e-5	2.5342498203939634e-4	3.127831372087275e-4	8.558883054665678e-5	3.543337383609124e-4
2021-01-05	0	0	0	1.429128435421756e-4	4.985593517679021e-4	6.720510224857978e-4	2.387773706131746e-4	0.008218884684283667
2021-01-06	0	0	0	2.485861671399636e-4	7.278863923598777e-4	8.998507521373877e-4	2.6587405273104103e-4	0.019362455064227735
2021-01-07	0	0	0	2.5175627295315195e-4	7.876553790271412e-4	0.0010214961153847124	2.644421484261361e-4	0.01992357852511084
2021-01-08	0	0	0	0.00027669246930428493	7.790368567510697e-4	0.0010917590646408737	2.56997065508191e-4	0.01020884380774989
2021-01-09	0	0	0	2.596642334735666e-4	8.31271721728033e-4	0.0010229854591190524	2.6909028439026095e-4	0.01806664526923818
2021-01-10	0	0	0	3.095044719765294e-4	0.0010278604431188665	0.0012557082514357276	3.127734907504287e-4	0.015535235627987865
2021-01-11	0	0	0	2.878178019320998e-4	0.0011207976759899374	0.0015108627000126607	3.339317554014176e-4	0.008820360012955053
2021-01-12	0	0	0	1.851854017183019e-4	7.951105268622083e-4	0.0010707668936462689	2.798703281188253e-4	0.010684142082862058
2021-01-13	1.8034346413120517e-5	0	0	2.677180318531036e-4	7.48562060206126e-4	9.623989159852631e-4	2.3178267291634747e-4	0.007274446346962948
2021-01-14	0	0	0	9.029717895980838e-5	3.126163141360383e-4	4.3492752595941653e-4	1.445182426058622e-4	0.0016024157432636965
2021-01-15	0	0	0	0	0	0	0	5.655743383847778e-6
2021-01-16	0	0	0	0	0	1.353249100333187e-6	0	0
2021-01-17	0	0	0	6.383610626281566e-5	2.6084969382722534e-4	3.376644975430221e-4	5.570655294584448e-5	7.729698115754857e-5
2021-01-18	0	0	0	1.4325398326731076e-4	6.837232452565623e-4	6.343125678787143e-4	1.4304142987442425e-4	2.0363373132403773e-4
2021-01-19	0	0	0	2.2270284229297665e-4	9.438264938814722e-4	8.935362854014528e-4	2.0028951673900508e-4	0.0011336784009099432
2021-01-20	0	0	0	4.5955149160548103e-4	0.0014785494086513307	0.001702903976540604	7.351423908792398e-4	0.013018077539983741
2021-01-21	0	0	0	4.753498076708329e-4	0.0013929203974851756	0.0017438681345967044	7.733792021769048e-4	0.013022278601880322
2021-01-22	0	0	0	9.198782179664633e-5	2.9942850155473266e-4	3.176928579795568e-4	1.583921240868591e-4	0.0033340257950278396
2021-01-23	0	0	0	2.494912726744847e-4	7.290355363041012e-4	8.786495900388047e-4	2.6554454098626223e-4	0.005968415825387874
2021-01-24	0	0	0	2.6671148370005504e-4	6.158713138513239e-4	7.254443713002878e-4	2.2637426227323232e-4	0.0019060837546980292
2021-01-25	0	0	0	2.0125378035573682e-4	5.827456010718546e-4	6.318866728913797e-4	1.7057150920773978e-4	0.0010683578192542953
2021-01-26	0	0	0	4.7596104815816886e-4	0.0012864440162780877	0.001487930217992206	3.502753916126977e-4	0.002703310138655546
2021-01-27	0	0	0	5.480160089199604e-4	0.0017246824227825641	0.002015140713080177	5.996410595869861e-4	0.006427254553791117
2021-01-28	0	0	0	0.0011358537336711994	0.0029298508500739118	0.003557752721745633	0.0011427259479148688	0.023304334078998235
2021-01-29	0	0	0	0.001193471987150474	0.003192099944326676	0.0039998348803695905	0.001533093202541469	0.03323456976107275
2021-01-30	0	0	0	8.816184938740257e-4	0.0025871221079993845	0.003135132940650154	0.0011321454797106334	0.024320083976188123
2021-01-31	0	0	0	7.773661374572693e-4	0.0016883312516451365	0.0018373817560886074	4.991149889206348e-4	0.009915361160607539
2021-02-01	0	0	0	8.313106441428797e-4	0.002426587748983966	0.0026934283306578877	7.726254106381614e-4	0.009214685021820435
2021-02-02	0	0	0	0.0010910925669924687	0.0029542371130704126	0.0030709080347113282	0.0014008317066804832	0.023820428858777998
2021-02-03	0	0	0	0.0014271615138425897	0.003353561839861241	0.003618663658667476	0.0011958147556352383	0.038994078068955496
2021-02-04	0	0	0	0.0013331545733017425	0.0033089715949341514	0.0038252393097781834	0.001310001237297076	0.04287062425228716
2021-02-05	0	0	0	0.0018742041410688692	0.004257970306895675	0.004987082183115055	0.0019556923013421823	0.057289540664055005
2021-02-06	0	0	0	0.0015633305113618157	0.0037910307612409877	0.004278524063598743	0.0020910434793870447	0.056434084066755874
2021-02-07	0	4.1424205614593035e-6	0	9.298295498878506e-4	0.0022209191727402544	0.0025524810466937	0.0017307122670553454	0.02348718325347865
2021-02-08	0	0	0	0.0011349359742438558	0.0026326697129026577	0.0030549829101713666	0.0011397852284991128	0.01564684295292218
2021-02-09	0	0	3.1587218232154157e-6	0.0013042578746198519	0.0030240606676796844	0.0034691378835300934	0.0019785011862871738	0.061511656107883006
2021-02-10	0	0	0	0.0016107553444051348	0.003536914507234812	0.004020081541509013	0.0024875784685720603	0.07127964033827716
2021-02-11	0	0	1.579365276782596e-6	0.0015052265833022105	0.0029362247999127344	0.0036269141479130518	0.0036815827585714445	0.06300628675594
2021-02-12	0	0	0	0.001916801102654908	0.0039031565861264994	0.004898314090363787	0.006159344061473115	0.1351641442447331
2021-02-13	0	0	0	0.0015758080854193501	0.003717781527852848	0.004948564060884619	0.012947284191804131	0.17064465565429088
2021-02-14	0	0	0	9.024150442376033e-4	0.0021045387560743034	0.002589985944324802	0.006316659469502772	0.048564869061175964
2021-02-15	0	0	0	0.0010471451825133649	0.0026289221592141754	0.003185018348659696	0.007663445546674641	0.052083170886773944
2021-02-16	0	0	0	0.0011250822596422516	0.0025007438908644097	0.0029554331358057073	0.006645085096864456	0.08934847870789953
2021-02-17	0	0	0	0.0012385385312956299	0.00286850182940368	0.003513574075666659	0.00743797861055584	0.0800745295445624
2021-02-18	0	0	0	0.001411788285787141	0.0028700860112551574	0.0039770210250344995	0.012202044781144838	0.12575514417198308
2021-02-19	0	0	1.5793677712316878e-6	0.0015937921765278862	0.0033347864067074795	0.004511853049171233	0.024004465912535577	0.22247175798213936
2021-02-20	1.803467165673034e-5	0	0	0.0015303335301919407	0.0030959783857171796	0.0044347329968286164	0.03850538218665611	0.26688314125477164
2021-02-21	0	0	0	9.604058751808697e-4	0.0021407788456619947	0.002980515148491625	0.019296128232999754	0.10920538006519331
2021-02-22	0	0	1.579370265458735e-6	8.209720800083087e-4	0.0020021066298820944	0.0027802446846900697	0.019164190237658696	0.15706879560542664
2021-02-23	0	4.142437721066372e-6	0	9.056059649921178e-4	0.002161498082507096	0.0034662377143905854	0.03139074934141184	0.13792612413226335
2021-02-24	0	0	0	0.0011294611279133449	0.0023176723475735184	0.0038239662312813394	0.047812817365533666	0.17644123513527643
2021-02-25	0	0	0	0.0011792821074412263	0.0027430208465974992	0.004560871228785457	0.05703449325034571	0.1846566215618044
2021-02-26	0	0	1.5793727599078267e-6	0.0013281052805589333	0.0032177302011864306	0.0058652390982780744	0.0639322996318692	0.1396964006765138
2021-02-27	0	0	0	0.0016576098398755068	0.00435030776522205	0.009427104570541855	0.0960244013428746	0.12341434466343193
2021-02-28	0	0	0	7.504038557482051e-4	0.0019143633209528499	0.0037975739231241867	0.05550896992166621	0.06812192546093465
2021-03-01	0	0	0	7.330839306318726e-4	0.00189571184018833	0.0035847357948219916	0.05143167525307324	0.1285374258140215
2021-03-02	0	4.142454880895485e-6	0	0.001146910817078961	0.0024963908603741203	0.005223943381561069	0.07863806906688797	0.14599241834322552
2021-03-03	0	0	0	0.0012117659668069436	0.002365485441752302	0.004720370022040399	0.08080045280431358	0.1396931354247417
2021-03-04	0	0	1.5793752543569184e-6	0.0014383528319596994	0.003164102875698127	0.007296801818435172	0.12391864317288626	0.15205842107347567
2021-03-05	0	0	0	0.00168549815822705	0.0035203906308536315	0.0075472639926377205	0.12899899406188253	0.15689963100494664
2021-03-06	0	0	1.5793777488060101e-6	0.001599964919442698	0.0036678254292885626	0.007827799940221425	0.17413357196250612	0.13336562415149933
2021-03-07	0	0	0	6.569142654289095e-4	0.001671696231997144	0.003899848745632095	0.06098928961974592	0.022935798823706666
2021-03-08	0	0	0	8.229461326907384e-4	0.0021145565279394596	0.004358593267739241	0.07390828962792995	0.07585265174235278
2021-03-09	0	0	0	9.795272030999058e-4	0.0024005177781396547	0.008121828841450407	0.09180629645450344	0.06076514193073801
2021-03-10	0	0	1.5793802432551018e-6	0.0018496969452752587	0.004141431724755895	0.01629936464631143	0.12915100840097504	0.07966974658639714
2021-03-11	0	0	0	0.0017872648630727905	0.004215198447114599	0.016781963535389632	0.11993344727612243	0.07609722980632982
2021-03-12	0	0	0	0.0016766583541478752	0.0038968001886905412	0.01328040770719685	0.10474934350255238	0.061154641786697495
2021-03-13	0	0	0	0.0018083417780103694	0.004835789373555999	0.017209515398034725	0.09420933336639625	0.04291062599587159
2021-03-14	0	0	0	4.41585628545349e-4	0.0010515156241930335	0.0019289782037710257	0.030244238394654843	0.0025268487664245054
2021-03-15	0	0	0	6.701550769747655e-4	0.0017791389458186035	0.005386752555397223	0.06137109840195176	0.03920277988859233
2021-03-16	0	0	0	0.0021815306106920396	0.0049395280100934524	0.016105698117039102	0.0662163230742221	0.05685133131561648
2021-03-17	0	0	0	0.0030884100172043905	0.007124576315565401	0.02547985514619122	0.1039080726578887	0.07359076258645159
2021-03-18	0	0	1.5793827377041936e-6	0.003216329230458559	0.008932459355603495	0.027419720851265872	0.10164705485059988	0.10272146714174335
2021-03-19	0	0	0	0.003260154739579635	0.008154932116522184	0.02908395499172478	0.09795054373032408	0.0745417354803608
2021-03-20	0	0	1.5793852321532853e-6	0.003547683555567227	0.008085859301749432	0.0268855939316881	0.060586271234110534	0.03945160733023467
